userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (318,9.72589768934995e-05) (2858,9.715300984680653e-05) (595,8.675128628965467e-05)* (2762,8.203421748476103e-05)* (356,7.991363963810727e-05) (2396,7.860505866119638e-05) (593,7.622223347425461e-05) (1197,7.588065636809915e-05) (34,7.534218457294628e-05) (364,7.197745435405523e-05) (1198,7.160907989600673e-05) (1196,6.84741316945292e-05) (1210,6.529257370857522e-05) (1259,6.403591396519914e-05) (2081,6.384050357155502e-05) (2078,6.375306111294776e-05) (1265,6.294687045738101e-05) (2080,6.291845056694001e-05) (2716,5.9942623920505866e-05) (110,5.8792084018932655e-05)
12: (858,0.0001510312285972759)* (260,0.00011069373431382701) (912,9.977112495107576e-05) (527,9.666047844802961e-05) (593,8.538594556739554e-05)* (1252,8.33316080388613e-05) (318,7.569768786197528e-05) (1387,7.403198105748743e-05) (608,7.240064587676898e-05) (908,7.186015864135697e-05) (3435,7.082321826601401e-05) (969,6.843450682936236e-05) (1213,6.832600774941966e-05) (1267,6.829127232776955e-05) (2019,6.826933531556278e-05) (1247,6.818245310569182e-05) (1230,6.47461274638772e-05) (913,6.44496685708873e-05) (296,6.423581362469122e-05) (2028,6.401335122063756e-05)
13: (480,0.0002849369775503874)* (2628,0.00023280814639292657) (1240,0.00023062278341967613) (2858,0.00021729213767684996) (457,0.00021418403775896877) (2916,0.00020841334480792284) (1270,0.0002048238238785416) (527,0.0001994188642129302)* (1214,0.0001925799297168851) (1197,0.00019141859957017004)* (2762,0.00017904079868458211) (1200,0.00017300067702308297) (1610,0.00017267221119254827) (858,0.00016141720698215067) (1291,0.0001589111634530127)* (541,0.00014986193855293095) (3793,0.00014742036000825465) (1036,0.0001422369241481647) (356,0.00013934919843450189) (1,0.00013929122360423207)
14: (2858,0.00016065829549916089) (318,0.000129402891616337) (593,0.00011586695472942665) (260,0.00010609721357468516) (608,9.780595428310335e-05) (527,9.195367601932958e-05) (1193,8.90346200321801e-05) (2599,8.387867273995653e-05) (908,7.839815953047946e-05) (1213,7.78290195739828e-05) (111,7.77054883656092e-05) (1197,7.590853056171909e-05) (1196,7.408770034089684e-05) (2580,7.282759179361165e-05) (2028,7.143342372728512e-05) (2683,7.03040641383268e-05) (912,6.947942165425047e-05) (1089,6.777192902518436e-05) (2396,6.631293217651546e-05)* (524,6.560929614352062e-05)
15: (318,0.0001353239786112681)* (589,0.0001284560712520033) (3578,0.0001204799918923527)* (356,0.00011194230319233611)* (2997,0.00010549181752139702) (296,9.82159108389169e-05) (2959,9.64017744990997e-05) (1721,9.352824417874217e-05) (1617,9.259345824830234e-05) (2355,9.235721518052742e-05) (1580,9.023258462548256e-05) (3793,8.630035881651565e-05) (608,8.571607031626627e-05) (2628,8.457659714622423e-05) (50,8.2648046372924e-05)* (3114,8.130228525260463e-05) (3623,7.791547977831215e-05) (858,7.757797720842063e-05) (1197,7.577925862278789e-05) (2716,7.521775114582852e-05)
16: (2762,0.0001569610758451745) (3005,0.000151328495121561) (2694,0.0001482992374803871) (2605,0.00014056549116503447) (2706,0.00013980796211399138) (2688,0.00013015451258979738) (2707,0.00012874054664280266) (3623,0.00012422582949511707) (2997,0.00011909587919944897) (2763,0.00011375908070476726) (223,0.00010995717457262799) (2881,0.00010980087972711772) (3578,0.00010895542072830722) (2858,0.00010558980284258723) (2541,0.0001012311113299802) (3114,0.00010025075607700273) (1127,9.742064867168665e-05) (2336,9.637392940931022e-05) (2712,9.596621384844184e-05) (2959,9.586587111698464e-05)
17: (260,0.0002242673363070935)* (1196,0.00018997593724634498)* (1200,0.00014856571215204895)* (2858,0.00012838827387895435)* (2916,0.00012158874596934766)* (924,0.00011590035865083337)* (2628,0.0001101252346416004) (1199,9.185585076920688e-05) (1198,9.11280803848058e-05) (3702,8.330702257808298e-05) (1527,8.043937123147771e-05)* (858,8.027029252843931e-05) (1097,7.932708831503987e-05) (1197,7.511098374379799e-05) (2968,7.493085286114365e-05) (608,7.097944035194814e-05) (318,6.979025056352839e-05)* (2997,6.70768495183438e-05) (329,6.636902980972081e-05) (2662,6.441600271500647e-05)*
18: (2571,0.00014332904538605362) (1,0.00010837098670890555)* (589,0.00010650516196619719)* (480,9.977771696867421e-05) (2762,9.57611482590437e-05) (2028,9.5333882200066e-05)* (3114,9.397974645253271e-05) (1270,9.044168837135658e-05) (1291,8.793865708867088e-05)* (593,8.494360372424126e-05) (318,8.27721887617372e-05) (457,7.70235710660927e-05) (2396,7.481251668650657e-05) (356,7.475469465134665e-05) (1036,6.930500967428088e-05) (1356,6.716409552609548e-05) (364,6.487928476417437e-05)* (858,6.430055509554222e-05) (1374,6.409838533727452e-05) (1214,6.393695366568863e-05)
19: (260,0.00015750523016322404) (2571,0.0001491731673013419)* (589,0.00013421267794910818)* (1196,0.0001308718346990645)* (2762,0.00010917541658272967)* (480,0.00010106373520102352)* (457,9.412212966708466e-05) (593,9.072369721252471e-05)* (1240,8.40670254547149e-05) (1036,8.282614726340398e-05)* (3578,8.235809946199879e-05) (1270,8.199008880183101e-05)* (1214,8.01459900685586e-05) (2628,7.822208135621622e-05) (2916,7.730541256023571e-05) (3114,7.576839561806992e-05)* (2706,7.462707435479388e-05) (2997,7.288155757123604e-05) (1610,7.274281233549118e-05) (1291,7.017819007160142e-05)*
21: (3910,2.9943887057015672e-05) (1199,2.7005326046491973e-05) (3354,2.2850696041132323e-05) (3915,2.126557592418976e-05) (2010,2.03251311177155e-05) (1924,1.6899381080293097e-05) (3273,1.679720116953831e-05) (3826,1.6369282093364745e-05) (3535,1.6317399058607407e-05) (3624,1.6230016626650468e-05) (2021,1.5629353583790362e-05) (3089,1.546902240079362e-05) (3928,1.537892057967838e-05) (1973,1.5153838830883615e-05) (1077,1.5130583960853983e-05) (3300,1.4833768545940984e-05) (3744,1.4591462786484044e-05) (3409,1.4366726645675953e-05) (1969,1.4174822354107164e-05) (2284,1.409668675478315e-05)
22: (260,0.0001791042450349778) (2571,0.00017796605243347585) (1210,0.00014053372433409095) (2028,0.00010621672845445573) (110,0.00010130564623977989)* (480,9.961824252968654e-05) (1197,9.897241397993639e-05) (1270,9.557916200719774e-05)* (1580,8.958845864981413e-05) (2762,8.958233229350299e-05)* (296,8.300512126879767e-05) (2628,8.098937541944906e-05) (457,7.998713408596814e-05) (3793,7.934951281640679e-05) (1036,7.921573705971241e-05)* (593,7.816107972757891e-05) (2959,7.811532850610092e-05) (541,7.787653885316104e-05) (50,7.663739961571991e-05) (1617,6.9201756559778e-05)
23: (2571,0.00023437269555870444) (1210,0.0002029417228186503) (1214,0.00018439786799717695) (1200,0.00015880937280599028) (1198,0.0001459519990021363) (1270,0.00014169429778121412) (110,0.00013257551472634077) (2028,0.00013252929784357548) (1197,0.00012242466618772596) (924,0.00010992943134624511) (2762,0.00010693757212720811)* (1206,9.409699850948527e-05) (457,9.395692177349702e-05) (750,9.340470569441095e-05)* (1617,9.07487265067175e-05) (1199,8.892674668459222e-05) (1374,8.595620602136478e-05) (527,8.567105396650732e-05) (2791,8.509747567586601e-05) (2529,8.487687591696158e-05)
24: (1196,0.00011071204789914191) (1210,0.00010871607810258865) (260,0.0001068603596650064)* (356,0.00010054605809273198) (1,9.623775986256078e-05) (2762,9.491594391874969e-05) (2804,9.472668898524716e-05) (2997,9.384542499901727e-05) (2716,9.247218258678913e-05)* (3114,8.977615652838722e-05) (858,8.942175918491557e-05)* (296,8.866086136549711e-05)* (1097,8.705895015737042e-05) (34,8.043645357247442e-05) (1136,7.944368553580716e-05) (3421,7.901759818196297e-05) (1193,7.834291318431497e-05)* (1394,7.289661152753979e-05)* (1784,7.082591037033126e-05) (2000,7.018277392489836e-05)
25: (2571,0.00016853756096679717) (260,0.0001543110265629366)* (1210,0.0001523733080830425)* (589,0.00014059958630241454) (2858,0.00011854788317577913) (2628,0.0001175272700493224)* (2762,0.00010318507702322677) (110,0.00010166441643377766) (2916,9.305491403210908e-05) (3793,9.299504745285958e-05)* (2028,9.186172246700153e-05)* (1127,9.016988042276353e-05) (2706,8.118843106785789e-05) (2683,8.069182513281703e-05) (2959,8.002093818504363e-05) (3175,7.890821143519133e-05) (1270,7.862152415327728e-05)* (1200,7.590603490825742e-05) (1240,7.45188954169862e-05) (2355,7.232915959320962e-05)
26: (457,6.34955067653209e-05) (11,6.343032146105543e-05) (1784,6.284700066316873e-05)* (539,6.208541890373453e-05) (2396,5.943889118498191e-05) (2028,5.739359767176211e-05) (1721,5.70962110941764e-05) (2918,5.4722564527764916e-05) (440,5.2222942031221464e-05) (1,5.2120944019407034e-05) (1610,5.144505121279508e-05) (380,5.103626608615741e-05) (593,5.0824597565224394e-05) (1923,5.025972495786846e-05) (3255,5.010567474528216e-05) (357,4.879109837929718e-05) (527,4.860070475842804e-05) (1197,4.8082110879477113e-05) (587,4.787699435837567e-05) (39,4.7869092668406665e-05)
27: (912,0.00012620257621165365)* (904,0.00010265310993418097) (1221,0.0001006641032290645) (1193,9.956907160812989e-05) (750,9.876266994979233e-05) (1230,9.577145829098299e-05) (919,9.567386587150395e-05) (1196,8.348505070898682e-05) (608,8.286665979539976e-05) (593,8.229158265748993e-05) (903,8.138636621879414e-05) (1284,8.101897401502356e-05) (1225,7.938016642583534e-05) (527,7.923690282041207e-05) (924,7.722936425125226e-05) (1304,7.526183617301285e-05) (111,7.49931568861939e-05) (969,7.49018436181359e-05) (1247,7.471807475667447e-05) (1212,6.890243821544573e-05)
28: (858,0.00011398387869121507) (593,0.00011355939932400361) (2028,9.384987060911953e-05) (2571,8.826854173094034e-05) (1193,8.443514525424689e-05) (1617,8.313510625157505e-05) (1197,8.283598435809836e-05)* (589,8.199292642530054e-05) (1221,8.150166104314849e-05) (296,8.100592822302133e-05) (1240,7.557904609711841e-05) (110,7.504741370212287e-05) (2997,7.337320130318403e-05)* (541,6.951684190426022e-05) (1270,6.822246359661222e-05) (1213,6.687358109047636e-05) (1097,6.516127905342728e-05) (480,6.4817737438716e-05) (908,6.471400411101058e-05) (750,6.414546078303829e-05)
29: (1210,0.00026950970641337335) (1214,0.00021937789279036224)* (2571,0.00021911550720687956) (1200,0.0001975312188733369) (1291,0.0001603935961611569) (457,0.00015804565919097513) (858,0.00015535749844275415)* (1270,0.00015362702833954245) (2028,0.0001516514748800546) (2000,0.00014101184206083417) (110,0.00013970765576232225)* (1197,0.00013065994426142424) (2947,0.0001286969636566937) (1374,0.00012632450670935214) (1221,0.00012543554475996643) (1610,0.00012404673907440156) (1954,0.0001235582458321005)* (2194,0.00012268478167243302) (3702,0.00011928594904020429)* (3703,0.00011837407510029152)
30: (2997,8.895475912140682e-05)* (2762,8.514954970451072e-05)* (3160,8.461521792924032e-05) (3578,8.425404666922987e-05) (110,7.970107981236652e-05) (3793,7.719743007328361e-05) (3481,7.663806900382042e-05) (3897,7.465590169886127e-05) (2959,7.298537821043283e-05) (3408,6.429952918551862e-05) (223,6.362950807670131e-05) (2706,6.290293822530657e-05) (3753,6.255882908590138e-05) (2599,6.196441972861066e-05) (296,5.850481102243066e-05) (3555,5.824167237733491e-05) (32,5.611719825537875e-05) (3911,5.506211891770363e-05) (3624,5.372326631913893e-05) (3948,5.304070145939477e-05)
31: (260,8.647816866869107e-05) (1198,7.571026071673259e-05) (3421,7.235772500280291e-05) (1079,6.838249100837857e-05) (1196,6.696330092381686e-05) (2791,6.58581338939257e-05) (1136,6.574670987902209e-05) (2797,6.348877650452778e-05) (2396,6.251047307159752e-05) (2804,6.216052861418575e-05) (1294,6.00114326516632e-05) (1220,5.900021278648637e-05) (919,5.861298268428072e-05) (1,5.857253199792467e-05) (1968,5.685078940587118e-05) (3114,5.669480742653832e-05) (1394,5.522128049051389e-05) (1278,5.497493839357048e-05) (1230,5.4933792853262275e-05) (1097,5.430496821645647e-05)
32: (593,9.004343883134425e-05)* (2396,8.020979294087738e-05) (296,7.992846076376736e-05) (527,7.685107266297564e-05) (2997,7.613274647155777e-05) (318,7.604447455378249e-05) (2762,7.523114618379623e-05)* (1617,6.918465078342706e-05) (3160,6.494571425719187e-05) (2291,6.46735934424214e-05) (1704,6.257365021156147e-05) (1213,6.115122960181907e-05) (110,5.9657384554157034e-05) (1358,5.9421301557449624e-05)* (50,5.783776578027755e-05) (2028,5.352986045181751e-05) (2599,5.139052154845558e-05) (3176,5.104416413814761e-05) (356,4.902085129288025e-05) (17,4.8854300985112786e-05)
33: (1196,0.000170360945048742)* (858,0.00013235963706392795)* (2028,0.00012319677625782788) (2571,0.00012091974349459633) (527,0.00010656778613338247) (1200,0.00010280674177920446)* (318,9.620000491850078e-05)* (110,9.474012040300295e-05) (541,9.035607217811048e-05) (1617,8.752143185120076e-05) (457,8.116798562696204e-05) (296,8.056600927375257e-05) (1197,7.957013440318406e-05) (1036,7.899582124082372e-05) (50,7.487102266168222e-05) (1304,7.044617086648941e-05) (912,6.94498885422945e-05) (750,6.729670712957159e-05) (919,6.385990855051205e-05)* (356,6.289281009230763e-05)
34: (318,0.00011112280481029302)* (1265,0.00010813015251187608) (3114,9.927694190992042e-05) (2762,9.82992714853026e-05) (2028,9.044139733305201e-05) (2997,9.009364293888211e-05) (1210,8.948893810156733e-05) (527,8.708493987796828e-05) (593,8.673024422023445e-05) (2716,8.167244959622622e-05)* (2355,7.784744229866192e-05) (296,7.482161890948191e-05) (1198,7.266651664394885e-05) (2797,7.157323852879927e-05) (608,7.121112139429897e-05) (1097,6.994255090830848e-05)* (110,6.973300332902e-05) (3421,6.401479913620278e-05) (1136,6.399369158316404e-05) (2599,6.367771857185289e-05)
35: (912,7.926472608232871e-05)* (858,6.554048013640568e-05) (908,5.6895467423601076e-05)* (1193,5.446143768494949e-05) (608,5.40672626812011e-05)* (1304,5.389431680669077e-05) (923,5.348418926587328e-05) (1221,5.293518552207388e-05) (1234,5.049100946052931e-05) (899,4.9326969019602984e-05)* (111,4.8210902605205774e-05) (1207,4.758046998176724e-05) (1294,4.701792568084784e-05)* (3363,4.6736178774153814e-05) (1267,4.673357761930674e-05) (1276,4.609370807884261e-05) (34,4.495956818573177e-05) (903,4.4644872104981914e-05) (913,4.441234705154784e-05) (750,4.3515407014638186e-05)
36: (2028,0.00015548070950899273)* (480,0.00013438814494293183)* (1270,0.00012019832502119243)* (2396,0.00010702243162086233) (318,0.00010378018487244844) (2997,9.792143828235567e-05) (3578,9.609812695998698e-05)* (2628,9.546775982016698e-05) (296,8.93030155566521e-05)* (1265,8.682048064656556e-05)* (1127,8.562003495171666e-05)* (50,8.24866583570838e-05) (2000,8.06078314781189e-05)* (223,7.613746856804937e-05)* (1259,7.303176971618086e-05)* (3753,7.148662552936003e-05)* (1704,6.957270670682192e-05) (780,6.848534394521266e-05)* (1221,6.847199256299064e-05) (1721,6.754210335202515e-05)
37: (1265,9.447358024772257e-05) (1,8.070959302131087e-05) (539,7.677335088374093e-05) (1721,7.65839358791709e-05) (11,7.644832658115774e-05) (1210,7.487212860723957e-05) (3114,7.04075355315581e-05) (34,7.016071322141215e-05) (39,6.413722439901903e-05) (2858,6.409642082871869e-05) (2762,6.297370418906212e-05) (1198,6.252607272472233e-05) (318,6.166996899992228e-05) (1784,6.099803067627363e-05) (2028,6.0799244238296524e-05) (919,6.0646809288300574e-05) (440,5.9493388107512146e-05) (1393,5.926454468863085e-05) (260,5.841949678142555e-05) (914,5.791640069219284e-05)
38: (356,9.357530507259071e-05)* (1265,8.691613038536161e-05) (597,8.210479427361861e-05) (11,7.466183888027444e-05) (1784,7.439329783665016e-05) (3114,7.237085810629651e-05) (318,7.20069365343079e-05) (34,7.111696322681382e-05) (2762,6.801114795962349e-05) (440,6.475346890510991e-05) (2424,5.991181387798861e-05) (3255,5.8246692788088694e-05) (527,5.7058910897467285e-05) (1197,5.40336113772355e-05) (2858,5.3841580665903166e-05) (2028,5.367398989619687e-05) (2324,5.224297638051212e-05)* (1923,5.153689198778011e-05) (7,4.97851797263138e-05) (593,4.715578688774258e-05)
39: (2762,0.00027062295703217387) (2706,0.00024041127471718937) (2683,0.0002377526689087972) (2396,0.00021331460447981954)* (3578,0.00020219101861584932)* (2355,0.00019455849542282522)* (2716,0.00017808351549319923)* (2571,0.0001754660770529881) (3793,0.00016739038983359933)* (2028,0.00016625679563730955) (296,0.00015976991562638432) (2987,0.0001587100705364719) (3176,0.00015794280625414103) (589,0.00015368495951406658) (2694,0.00015254755271598697) (3174,0.00014552393986377865) (2336,0.0001443255168851465) (593,0.0001426683011231944) (2908,0.00014102084969636053) (1210,0.00013997901987750083)
40: (260,0.00020285346545279026) (1210,0.0001281596050830558) (1240,0.00012043807510053739) (1214,9.920197044266388e-05) (858,8.793000597506762e-05) (1036,8.213763067033142e-05) (1200,8.200205775210634e-05) (2571,8.076294034253806e-05) (2028,7.541244121966884e-05) (589,7.483255467377603e-05) (480,7.249810005305335e-05) (1387,7.024016667855904e-05) (1221,6.794890941819176e-05) (541,6.757020310033113e-05) (1270,6.724498962284997e-05) (1304,6.56022020848468e-05) (110,6.55197145533748e-05) (1610,6.063004184397869e-05) (1097,6.056511483620852e-05) (457,5.794709431938827e-05)
41: (480,7.184048445196822e-05) (3578,7.112285675248131e-05) (2683,6.908996147103608e-05) (2858,6.707032298436388e-05) (3793,6.480777665274218e-05) (3160,6.380723789334297e-05) (1196,6.088191730668768e-05)* (1097,5.9652866184478626e-05) (3753,5.953607978881337e-05) (589,5.87440918025095e-05) (2987,5.858155418536626e-05) (110,5.773639713879675e-05) (3863,5.23281742061954e-05) (2688,5.222282561589964e-05) (1093,5.207192225498147e-05) (3147,5.191902528167702e-05) (2959,5.1370465371292084e-05) (593,5.0904880481539294e-05) (17,5.0758535508066416e-05) (3623,5.069324470241554e-05)
42: (1210,0.0002481682749930769)* (2571,0.00024784152628853917) (2916,0.00015940959565341473) (1580,0.00014802324585616589) (110,0.0001231370697496459) (2028,0.00011890901805600151) (1197,0.00011642520985333249)* (780,0.00010034747538156807) (924,0.00010000365728046745)* (1527,9.212752047460526e-05) (2288,8.977355901151896e-05)* (2000,8.886802970664576e-05) (858,8.425427949987352e-05) (1206,8.231974061345682e-05) (2968,7.874059519963339e-05) (32,7.496403850382194e-05) (1954,7.413561252178624e-05) (1220,7.337790884776041e-05) (750,7.332900713663548e-05)* (2947,7.150219607865438e-05)
43: (2355,0.0001769082882674411) (3176,0.00017030445451382548) (2683,0.0001676652900641784) (2716,0.0001671929203439504) (223,0.00016710866475477815) (2959,0.00016452964337076992) (2987,0.00014911690959706903) (2336,0.00014908377488609403) (2881,0.00013405599747784436) (2694,0.0001331144303549081) (3408,0.00013251911150291562) (3578,0.00012774094648193568) (3203,0.000125201404443942) (2333,0.00012299629452172667) (1127,0.00012292867177166045) (2395,0.0001221105776494369) (3160,0.00011837351485155523) (2763,0.00011801084474427626) (3174,0.00011712051491485909) (1617,0.00011404028919059783)
44: (1196,0.00020391210273373872)* (1580,0.00010651589400367811) (2858,0.00010626873699948192) (3114,0.00010156285134144127) (2628,0.00010065272363135591)* (110,8.547773177269846e-05) (2028,8.235360292019323e-05) (3175,8.181730663636699e-05) (1214,8.126808825181797e-05) (1291,8.015130879357457e-05)* (2355,7.941741205286235e-05) (541,7.49064638512209e-05) (356,7.395219290629029e-05) (1200,7.167466537794098e-05) (588,6.583731737919152e-05) (2916,6.52872258797288e-05) (1376,6.497141293948516e-05) (457,6.315429345704615e-05) (2791,6.30275608273223e-05) (595,6.045821282896213e-05)
45: (2396,7.286856998689473e-05) (1307,5.733673970098607e-05) (539,5.676101864082739e-05) (597,5.509581751539372e-05) (356,4.722962694359012e-05) (1721,4.380329482955858e-05) (2424,4.226795499562286e-05) (34,4.1502018575556576e-05) (1674,4.029223418910988e-05) (2918,3.8725418562535197e-05) (1569,3.870801447192207e-05) (7,3.858682612190023e-05) (1393,3.807399843935855e-05) (838,3.7879537558183074e-05) (899,3.70765665138606e-05) (17,3.662470408016816e-05) (339,3.5858618502970785e-05)* (1197,3.3851058105938137e-05) (1188,3.373426079633646e-05)* (2355,3.346482480992563e-05)
46: (2288,7.734669634373859e-05) (2459,7.045843085506931e-05) (1345,6.696383934468031e-05) (1321,6.493565160781145e-05) (3499,5.747845716541633e-05) (253,5.388465433497913e-05) (3018,5.18745873705484e-05) (1997,4.921143045066856e-05) (799,4.916940815746784e-05) (2654,4.6938574087107554e-05) (2901,4.678875848185271e-05) (1994,4.675726086134091e-05) (1258,4.394774077809416e-05) (2867,4.349124355940148e-05) (70,4.3241496314294636e-05) (1215,4.2987303459085524e-05) (2517,4.0686856664251536e-05) (2644,3.9566875784657896e-05) (3727,3.9313868910539895e-05) (3917,3.918479706044309e-05)
47: (593,0.00024162423505913466) (608,0.00016415414575021714) (296,0.0001624742872081697) (2028,0.00015567328955512494) (2858,0.00014108211325947195) (1617,0.00013469916302710772) (50,0.00011764435475924984) (1704,0.00011400331277400255) (912,0.00011389813153073192) (1198,0.00011173480743309483) (919,0.00010672479402273893) (110,0.00010329185170121491) (1225,0.00010049996490124613) (904,9.852743096416816e-05) (908,9.811109339352697e-05) (260,9.50356261455454e-05) (2762,9.317346120951697e-05) (1207,9.24385167309083e-05) (3147,9.239553037332371e-05) (1250,9.226965630659834e-05)
