userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
1: (2858,14.890045166015625) (2396,14.315960884094238) (593,13.95844841003418) (318,13.902490615844727) (858,13.371723175048828) (1196,13.35035514831543) (1193,13.177972793579102)* (1198,13.17405891418457) (912,13.164117813110352) (1197,12.978717803955078) (2762,12.956230163574219)* (1225,12.740355491638184) (1265,12.728422164916992) (34,12.527816772460938) (356,12.313689231872559) (1617,12.16653060913086) (1259,12.082703590393066) (1307,12.074316024780273) (1210,12.057555198669434) (2997,11.875787734985352)
12: (858,15.670145034790039)* (260,14.334014892578125) (912,14.255502700805664) (608,14.022666931152344) (1196,13.836721420288086) (750,13.407402038574219) (1252,13.267938613891602) (908,13.181144714355469) (593,13.057178497314453)* (1225,12.894281387329102) (527,12.811147689819336) (541,12.779817581176758) (924,12.771041870117188) (1230,12.739213943481445) (1617,12.646844863891602) (904,12.544891357421875) (1247,12.515583038330078) (1214,12.246387481689453) (1136,12.241979598999023) (1208,12.094700813293457)
13: (1240,15.024591445922852) (480,14.891193389892578)* (1214,13.978889465332031) (1200,13.651629447937012) (1270,13.240400314331055) (1036,13.166250228881836) (2916,13.163640975952148) (1291,12.974603652954102)* (457,12.897703170776367) (1197,12.702339172363281)* (2628,12.606213569641113) (1610,12.34701919555664) (541,12.238908767700195) (858,12.085927963256836) (1387,11.88427734375) (2000,11.638213157653809) (2762,11.342081069946289) (3527,11.33342170715332) (924,10.806997299194336) (1376,10.689218521118164)
14: (2858,15.482978820800781) (608,14.673294067382812) (527,13.581911087036133) (1193,13.356040000915527) (593,13.349513053894043) (318,13.266854286193848) (858,12.925785064697266) (1617,12.881271362304688) (2396,12.505839347839355)* (912,12.44068717956543) (1230,12.41834545135498) (1213,12.212627410888672) (50,11.835342407226562) (1247,11.673267364501953) (111,11.64197063446045) (923,11.540193557739258) (908,11.435087203979492) (1252,11.39040756225586) (2599,11.366333961486816) (2324,11.001678466796875)
15: (318,14.552057266235352)* (356,14.26907730102539)* (589,14.19454574584961) (3578,13.389396667480469)* (296,13.142694473266602) (608,12.986255645751953) (50,12.886383056640625)* (1580,12.560317993164062) (1617,12.484649658203125) (1197,12.398523330688477) (1,12.384647369384766) (1265,12.225144386291504) (1270,12.208498001098633) (1784,11.694243431091309) (1036,11.54272174835205) (2959,11.48525333404541) (858,11.48076343536377) (2997,11.475996971130371) (2628,11.375967025756836) (733,11.374167442321777)
16: (2858,7.796272277832031) (2762,7.759666919708252) (2706,7.668339729309082) (2396,7.5804290771484375) (3114,6.886019706726074) (356,6.599259376525879) (2694,6.507447719573975) (1,6.461949825286865) (3408,6.439061164855957) (223,6.34635591506958) (2997,6.2775678634643555) (1784,6.201610088348389) (1265,6.016709327697754) (2716,5.947408676147461) (2599,5.908413410186768) (597,5.907109260559082) (2959,5.823522567749023) (1721,5.745966911315918) (588,5.734322547912598) (3578,5.679967880249023)
17: (260,20.668916702270508)* (1196,19.88213539123535)* (1198,18.68402099609375) (858,16.785972595214844) (1200,16.782726287841797)* (1197,16.237606048583984) (2858,15.953593254089355)* (608,15.664104461669922) (1097,15.26595687866211) (1036,15.183219909667969) (924,15.167842864990234)* (2916,15.072884559631348)* (1291,14.762794494628906) (1387,14.633140563964844) (1221,14.623435974121094) (318,14.466732025146484)* (1136,14.343035697937012) (1259,14.048914909362793) (2628,13.713781356811523) (2716,13.495853424072266)
18: (2571,18.864315032958984) (1270,18.751399993896484) (589,18.574329376220703)* (2028,17.90463638305664)* (593,17.845947265625) (480,17.72189712524414) (858,17.552867889404297) (2762,17.118894577026367) (1,17.072519302368164)* (1214,16.889413833618164) (318,16.467384338378906) (1291,16.45759391784668)* (356,16.383094787597656) (608,16.324810028076172) (1036,16.09286117553711) (2716,16.08267593383789) (457,16.01805305480957) (2396,16.000335693359375) (1136,15.892629623413086) (541,15.81263542175293)
19: (260,19.651878356933594) (1196,18.928821563720703)* (2571,18.877731323242188)* (589,18.844518661499023)* (480,17.63031768798828)* (1240,17.312435150146484) (1270,16.567602157592773)* (1214,15.933258056640625) (1036,15.697905540466309)* (1200,15.649349212646484) (1291,15.624614715576172)* (457,15.587579727172852) (2916,15.350385665893555) (2762,15.225059509277344)* (2628,15.131746292114258) (593,14.994895935058594)* (1097,14.790631294250488) (1610,14.598390579223633) (858,14.256587982177734)* (780,14.028814315795898)
21: (2628,5.630136489868164) (2571,5.586877346038818) (1356,5.555195331573486) (1374,5.422445297241211) (589,5.421527862548828) (1210,5.385504722595215)* (1527,5.323098659515381) (480,5.296517848968506) (316,5.278164863586426) (1580,5.273036003112793) (780,5.0332417488098145) (2916,4.954014778137207) (1372,4.93997049331665) (260,4.936087608337402) (1376,4.883877754211426) (3793,4.833559513092041) (1215,4.814733505249023) (1240,4.792232990264893) (1127,4.735117435455322) (329,4.657593727111816)
22: (260,19.303035736083984) (2571,19.164894104003906) (1210,18.391036987304688) (2028,17.054096221923828) (1197,16.910823822021484) (110,16.762187957763672)* (593,16.6605224609375) (480,16.64984893798828) (1270,16.311416625976562)* (2762,16.131582260131836)* (1580,16.062440872192383) (457,15.361296653747559) (608,15.352553367614746)* (296,15.23975944519043) (50,15.175604820251465) (1036,15.021662712097168)* (1617,14.872979164123535) (1,14.527027130126953) (541,14.457369804382324) (527,14.315130233764648)
23: (2571,19.027118682861328) (1210,18.82729721069336) (1198,18.74441146850586) (1214,17.48655128479004) (1200,16.837953567504883) (2028,16.58877944946289) (1197,16.568815231323242) (1270,16.41238784790039) (110,16.36097526550293) (1291,15.092735290527344) (457,15.08534049987793) (1374,14.832042694091797) (1387,14.757335662841797) (1617,14.74176025390625) (1136,14.553006172180176) (2762,14.512142181396484)* (924,14.414997100830078) (1259,14.176961898803711) (1610,13.917187690734863) (527,13.913444519042969)
24: (858,19.376062393188477)* (260,18.71888542175293)* (1193,18.68263053894043)* (1196,18.5982723236084) (1617,17.88059425354004) (296,17.841684341430664)* (2762,17.532154083251953) (2997,17.408245086669922) (1136,17.278472900390625) (1,16.630752563476562) (2804,16.616451263427734) (34,16.585834503173828) (1394,16.579700469970703)* (1210,16.36697769165039) (1097,16.340797424316406) (356,16.322938919067383) (908,15.898091316223145) (2716,15.7947359085083)* (2324,15.285820007324219) (111,15.253727912902832)
25: (2571,14.563291549682617) (589,14.25088119506836) (1210,13.877876281738281)* (260,12.96441650390625)* (2628,12.816950798034668)* (110,12.17099380493164) (2916,12.170167922973633) (1240,11.93425178527832) (457,11.123714447021484) (1527,11.00477409362793) (3793,10.976478576660156)* (733,10.944500923156738) (1270,10.808415412902832)* (1127,10.760738372802734) (2028,10.747027397155762)* (1200,10.680922508239746) (1610,10.653985977172852)* (1036,10.637642860412598) (316,10.580240249633789) (2762,10.468000411987305)
26: (2396,15.340967178344727) (2762,15.188621520996094) (593,15.040809631347656) (527,15.029318809509277) (2028,14.390020370483398) (1270,14.037612915039062) (1,13.890246391296387) (1784,13.873421669006348)* (1197,13.733856201171875) (1198,13.713760375976562) (608,13.682031631469727) (1196,13.342101097106934) (1721,13.225944519042969) (260,13.211450576782227) (110,13.116922378540039) (1210,13.0860595703125) (2918,12.839813232421875) (1259,12.777854919433594)* (1097,12.757856369018555) (858,12.740806579589844)
27: (912,18.828109741210938)* (1230,17.958192825317383) (1193,17.851394653320312) (608,17.287595748901367) (1247,16.871601104736328) (1225,16.709300994873047) (904,16.504714965820312) (111,16.162321090698242) (919,15.938849449157715) (750,15.916990280151367) (527,15.801023483276367) (1221,15.79196834564209) (593,15.135181427001953) (903,14.741458892822266) (1244,14.631421089172363) (924,14.351640701293945) (1208,14.292425155639648) (1219,14.242362022399902) (1952,14.168962478637695) (1304,14.065122604370117)
28: (858,19.407546997070312) (1193,19.064823150634766) (593,18.482460021972656) (1617,17.736305236816406) (908,17.35711097717285) (296,17.05282211303711) (1252,16.858213424682617) (2997,16.777143478393555)* (923,16.73776626586914) (1221,16.625070571899414) (111,16.4721736907959) (1207,16.239961624145508) (1213,16.1595401763916) (1136,16.03369140625)* (750,15.890854835510254) (1197,15.68970775604248)* (1259,15.437971115112305) (34,15.416485786437988) (2028,15.276187896728516) (1394,15.26193618774414)
29: (1210,16.617023468017578) (1214,15.851900100708008)* (2571,15.565823554992676) (1200,15.309226989746094) (1374,14.2166109085083) (1291,14.116815567016602) (110,13.7938232421875)* (1270,13.5250244140625) (541,13.448318481445312) (2000,13.231786727905273) (858,13.206546783447266)* (1580,13.171707153320312) (457,13.071165084838867) (1610,13.031452178955078) (2028,13.0166015625) (1197,12.594045639038086) (2628,12.443475723266602) (1097,12.327810287475586) (780,12.004467010498047) (924,12.001045227050781)
30: (608,14.317181587219238) (2997,13.370702743530273)* (296,13.225200653076172) (2396,12.55306625366211) (50,12.042555809020996)* (1213,11.988500595092773) (1193,11.933992385864258) (2762,11.849872589111328)* (858,11.393702507019043) (2599,11.264251708984375) (2324,11.101215362548828) (1704,11.085161209106445) (1358,10.53092098236084) (912,10.51535415649414) (1225,10.487874984741211) (1230,10.380119323730469) (34,10.37723159790039) (1094,10.249618530273438) (3006,10.228199005126953) (2289,10.138957977294922)
31: (260,18.25591278076172) (1196,17.635150909423828) (1198,17.405086517333984) (858,17.36486053466797) (912,17.07895851135254) (919,16.770082473754883) (1193,15.98880386352539) (1136,15.85572624206543) (1225,15.678789138793945) (1097,15.547961235046387) (1230,15.418764114379883) (608,15.124992370605469) (908,15.085142135620117) (527,14.938041687011719) (1221,14.922000885009766) (1247,14.905059814453125) (593,14.889752388000488) (750,14.848724365234375) (2396,14.790586471557617) (1278,14.759952545166016)
32: (593,14.60898208618164)* (527,14.458253860473633) (318,14.39847469329834) (2997,14.121850967407227) (296,13.898842811584473) (1617,13.714879035949707) (2396,13.666016578674316) (1193,13.263703346252441) (858,13.10262393951416) (50,12.842905044555664) (2762,12.764873504638672)* (1213,12.618610382080078) (912,12.214519500732422) (2028,12.150930404663086) (1225,11.961471557617188) (2599,11.833446502685547) (1230,11.79664421081543) (1265,11.677383422851562) (2324,11.63010311126709) (34,11.508384704589844)
33: (858,24.371721267700195)* (1196,23.75244903564453)* (527,21.643802642822266) (2028,21.17559051513672) (912,21.149303436279297) (1617,20.613597869873047) (318,20.38583755493164)* (1197,20.246091842651367) (541,19.949857711791992) (919,19.93260955810547)* (750,19.606876373291016) (296,19.49573516845703) (1304,19.33574867248535) (2571,19.034626007080078) (50,18.904647827148438) (110,18.856124877929688) (1200,18.74276351928711)* (1252,18.727474212646484) (1247,18.546598434448242) (904,18.380752563476562)*
34: (318,16.53556251525879)* (1265,16.39461898803711) (2762,16.376705169677734) (593,16.30997657775879) (527,15.941398620605469) (608,15.52907943725586) (2997,15.070056915283203) (2028,14.92551326751709) (296,14.632983207702637) (1198,14.398845672607422) (260,14.27372932434082) (1617,14.105581283569336) (2716,14.033411026000977)* (50,13.811752319335938) (858,13.731209754943848) (3114,13.712777137756348) (1210,13.608875274658203) (2355,13.525506973266602) (1193,13.448591232299805) (1136,13.3922758102417)
35: (912,23.01416015625)* (1193,21.883699417114258) (858,21.251842498779297) (608,21.001258850097656)* (908,20.532712936401367)* (923,20.40477752685547) (1207,19.94458770751953) (527,19.856277465820312) (111,19.259445190429688) (1244,18.611371994018555) (593,18.327308654785156) (1617,18.188716888427734) (1221,18.16286849975586) (318,18.076190948486328) (750,18.010971069335938) (1952,17.766197204589844) (903,17.604961395263672) (913,17.476226806640625) (2997,17.225048065185547) (34,17.206079483032227)
36: (2028,22.577224731445312)* (1270,21.147645950317383)* (318,20.839397430419922) (480,20.225725173950195)* (296,19.786130905151367)* (50,19.440711975097656) (1259,19.16178321838379)* (1265,19.07933807373047)* (2396,18.796279907226562) (1136,18.600914001464844)* (1193,18.420970916748047) (1221,18.328365325927734) (1213,17.764001846313477) (2000,17.688962936401367)* (2997,17.57189178466797) (2804,17.40958023071289) (3578,17.354543685913086)* (919,17.077659606933594) (1394,16.476673126220703) (1225,16.466197967529297)
37: (2858,13.699499130249023) (1265,12.916996002197266) (527,12.729527473449707) (318,12.668254852294922) (1,12.451786994934082) (2762,12.342122077941895) (593,12.287978172302246) (34,11.715577125549316) (919,11.706600189208984) (608,11.691475868225098) (1270,11.5494966506958) (1784,11.19387435913086) (260,11.172524452209473) (1198,11.171675682067871) (2028,11.074946403503418) (1196,11.016744613647461) (858,10.950031280517578) (1193,10.945655822753906) (3114,10.937128067016602) (1225,10.934784889221191)
38: (2858,14.649720191955566) (318,13.210813522338867) (1265,13.046199798583984) (356,12.930816650390625)* (527,12.891420364379883) (2762,12.766712188720703) (1784,12.156827926635742) (593,12.120755195617676) (34,12.049671173095703) (2997,11.781243324279785) (608,11.658912658691406) (2324,11.293684005737305)* (597,11.055086135864258) (3114,10.975363731384277) (11,10.888421058654785) (1641,10.748257637023926) (2599,10.685556411743164) (150,10.641094207763672) (919,10.623537063598633) (1225,10.508480072021484)
39: (2762,12.167329788208008) (2396,11.202962875366211)* (593,10.621826171875) (296,10.58997917175293) (608,10.407758712768555) (2706,10.05871295928955) (50,9.907613754272461) (527,9.772405624389648) (1265,9.631298065185547) (2028,9.437366485595703) (2355,9.364839553833008)* (2683,9.230583190917969) (3578,9.20737075805664)* (1,9.023884773254395) (1704,8.959346771240234) (1213,8.879351615905762) (356,8.763689994812012) (1197,8.68524169921875) (3481,8.675780296325684) (1784,8.66651725769043)
40: (260,17.663082122802734) (1210,15.549646377563477) (1240,15.312692642211914) (858,14.875981330871582) (1214,14.782342910766602) (589,14.103593826293945) (1270,14.075920104980469) (1200,13.742734909057617) (1097,13.5826416015625) (541,13.569324493408203) (1304,13.561392784118652) (1036,13.41309928894043) (1387,13.404987335205078) (924,13.193038940429688) (2571,13.12337875366211) (1374,13.050813674926758) (480,13.021053314208984) (1221,13.014442443847656) (2028,12.766349792480469) (750,12.694936752319336)*
41: (2858,10.264634132385254) (1196,9.466655731201172)* (2396,9.313382148742676) (356,9.171419143676758) (2571,9.153481483459473) (593,9.134393692016602) (1198,9.130389213562012) (2028,9.010503768920898) (1,8.907793998718262) (1270,8.83714485168457) (318,8.825520515441895) (1197,8.80633544921875) (480,8.777814865112305) (110,8.742677688598633) (527,8.69395637512207) (589,8.539352416992188) (1097,8.449244499206543) (2355,8.428190231323242) (2716,8.378793716430664) (1265,8.329351425170898)
42: (1210,22.274608612060547)* (2571,21.351253509521484) (1580,18.935367584228516) (2916,18.820863723754883) (110,17.97603988647461) (780,17.435976028442383) (2000,17.015859603881836) (1197,16.76198959350586)* (2028,16.276222229003906) (1527,15.74026870727539) (733,15.002683639526367) (2115,14.941614151000977) (592,14.886336326599121) (2716,14.375547409057617) (858,14.343132019042969) (1220,14.310505867004395) (924,14.123855590820312)* (1573,13.920021057128906) (1215,13.888442993164062) (1222,13.615049362182617)*
43: (318,10.327810287475586) (593,9.766382217407227) (1265,9.693169593811035) (527,9.478684425354004) (2355,9.414178848266602) (608,9.2533540725708) (223,9.221144676208496) (1784,9.153680801391602) (296,9.106833457946777) (1,9.026409149169922) (2959,8.99661636352539) (3408,8.993600845336914) (1704,8.917327880859375) (2683,8.778569221496582) (2028,8.650446891784668) (50,8.473625183105469) (1617,8.461912155151367) (3578,8.4559907913208) (2716,8.36232852935791) (1923,8.337596893310547)
44: (1196,20.31662368774414)* (1214,16.776578903198242) (1580,16.40697479248047) (858,16.335451126098633) (2028,16.14276123046875) (110,16.06605339050293) (1200,16.024139404296875) (1291,15.825156211853027)* (541,15.652679443359375) (2858,15.445905685424805) (1036,15.430936813354492) (1259,14.947842597961426) (457,14.798961639404297) (356,14.780097961425781) (1387,14.615787506103516) (2628,14.558609008789062)* (608,14.494026184082031) (2916,14.453628540039062) (2791,14.415420532226562) (2000,14.222251892089844)
45: (2396,18.9564208984375) (912,17.19915771484375) (2858,17.195621490478516) (1230,16.776256561279297) (527,16.57964515686035) (1307,16.49627685546875) (1225,16.460487365722656) (919,16.455751419067383) (1193,16.04389762878418) (34,16.032913208007812) (318,15.997081756591797) (1247,15.91603946685791) (608,15.709293365478516) (593,15.07975959777832) (356,15.064043998718262) (858,14.914033889770508) (1207,14.698288917541504) (2997,14.526086807250977) (908,14.415550231933594) (1197,14.379268646240234)
46: (2513,6.900002479553223) (1991,6.833366394042969) (2995,6.54247522354126) (1986,6.422876358032227)* (1992,6.394115447998047) (2315,6.307949066162109) (3662,6.198214530944824) (1215,6.182721138000488) (328,6.174781799316406) (1993,6.17062520980835) (610,6.121484279632568) (70,6.1066179275512695) (316,6.084616184234619) (1342,6.053264617919922) (3527,6.052822589874268) (2148,5.970501899719238) (330,5.967909336090088) (3837,5.884766578674316) (842,5.8769426345825195) (512,5.876110076904297)
47: (608,16.843650817871094) (2858,16.456693649291992) (593,15.36220932006836) (912,15.210700988769531) (1230,14.984102249145508) (1225,14.857175827026367) (296,14.536867141723633) (1617,14.44482421875) (2396,14.15131664276123) (2997,13.955533981323242) (923,13.777803421020508) (111,13.775632858276367) (908,13.681937217712402) (1207,13.668065071105957) (1252,13.45705509185791) (50,13.076675415039062) (904,12.96428108215332) (919,12.829153060913086) (2324,12.76683235168457) (1094,12.736444473266602)
48: (2028,18.77444076538086)* (858,18.749664306640625)* (1197,18.272375106811523) (527,17.50118637084961)* (1214,17.223630905151367) (1097,17.055814743041992)* (318,16.974428176879883)* (1200,16.375715255737305) (1291,16.182111740112305)* (1136,16.0494384765625) (1259,16.032529830932617) (912,15.678234100341797)* (50,15.529436111450195)* (1265,15.403779983520508) (2716,15.286458969116211) (1610,15.253576278686523)* (2000,14.985345840454102) (1304,14.96120548248291) (2791,14.864253997802734)* (2916,14.851072311401367)
49: (260,16.745513916015625) (1198,15.642909049987793) (2571,15.340340614318848) (1240,14.457714080810547) (593,14.201227188110352) (110,14.094770431518555) (1214,13.796167373657227) (480,13.788036346435547)* (1197,13.472906112670898) (1270,13.30660343170166) (608,13.122078895568848) (1036,12.834840774536133)* (541,12.735065460205078) (1580,12.728145599365234) (1617,12.653274536132812) (2762,12.6074857711792) (318,12.519001007080078) (1291,12.416241645812988) (1097,12.412189483642578) (1221,12.315254211425781)
50: (2396,7.690439224243164) (2762,7.55737829208374) (318,7.418986797332764) (527,7.146777153015137) (356,7.016314506530762) (593,6.9416375160217285) (3408,6.771954536437988) (1704,6.659186363220215) (1784,6.516908168792725) (2997,6.460940837860107) (1721,6.439294815063477) (1265,6.3374786376953125) (608,6.318564414978027) (1393,6.266208171844482) (2028,6.0884199142456055) (1,5.939272880554199) (2355,5.886723518371582) (296,5.8722333908081055) (3578,5.8499956130981445) (2324,5.840999603271484)
51: (2858,11.990294456481934) (2762,10.196598052978516) (2997,9.565564155578613) (356,8.82183837890625) (2355,8.819195747375488) (593,8.698919296264648) (2706,8.461538314819336) (1784,8.423515319824219) (527,8.421601295471191) (3408,8.23956298828125) (1704,8.117742538452148) (296,8.086518287658691) (223,8.076349258422852) (608,7.990420341491699) (2959,7.906199932098389) (3578,7.904041290283203) (2028,7.7963738441467285) (1923,7.732922554016113)* (34,7.708587169647217)* (2683,7.585832595825195)
52: (2571,14.393174171447754) (480,14.117823600769043) (1210,12.73133659362793) (2628,12.523344039916992) (1580,12.320002555847168) (1036,11.4166841506958) (1240,11.41446590423584) (2028,11.34002685546875)* (260,11.28875732421875) (1917,11.176733016967773) (1370,11.011988639831543) (1196,10.95026969909668) (1527,10.939409255981445) (1291,10.932244300842285) (1198,10.891901969909668) (316,10.748748779296875) (2353,10.730194091796875)* (3256,10.641949653625488) (1356,10.624645233154297) (3527,10.60962200164795)
53: (1198,27.883577346801758) (527,27.766887664794922) (1197,26.437042236328125) (296,26.303730010986328)* (2762,26.22946548461914)* (1193,26.144237518310547)* (1136,24.27396011352539) (110,24.238746643066406) (1265,24.066936492919922) (1097,23.952150344848633) (1,23.226146697998047) (908,22.568763732910156) (750,22.420886993408203) (2804,22.395771026611328) (2791,22.220849990844727) (480,22.111087799072266)* (1394,22.072345733642578) (34,22.067855834960938)* (1307,21.772350311279297) (111,21.687625885009766)
54: (912,18.63977813720703) (858,18.42633628845215) (1225,17.46014404296875) (1247,17.07366371154785) (608,17.0692081451416) (919,16.750730514526367) (908,16.737051010131836) (1252,16.412189483642578) (923,16.212200164794922) (1207,16.044652938842773) (527,16.00845718383789) (904,15.972034454345703) (1221,15.96615219116211) (111,15.79273796081543) (750,15.611204147338867) (2858,15.370670318603516) (593,15.330486297607422) (1394,15.166145324707031)* (1196,15.137386322021484) (1198,15.082271575927734)
55: (2858,14.083000183105469) (2028,13.346559524536133) (527,13.030633926391602)* (608,12.59432601928711) (260,12.064220428466797) (296,12.012557029724121) (1196,11.957685470581055) (1198,11.903742790222168) (1617,11.619495391845703) (2571,11.554174423217773) (858,11.542877197265625) (50,11.484952926635742) (2396,11.318523406982422) (1210,11.303018569946289) (1197,10.883707046508789) (1213,10.826395034790039) (1704,10.739629745483398)* (1193,10.674936294555664) (1265,10.662269592285156) (1,10.638632774353027)
56: (593,16.620973587036133) (1617,14.976324081420898)* (858,13.712900161743164) (1704,13.349966049194336) (1193,13.264518737792969) (1265,13.244778633117676) (2599,12.746294975280762) (356,12.399320602416992) (1197,12.38547420501709) (2324,12.373981475830078) (1196,12.196168899536133) (1198,12.189067840576172) (1259,12.163331985473633) (1358,12.133956909179688) (1,12.092020988464355)* (260,12.050609588623047) (2959,11.951667785644531) (2571,11.853833198547363) (1221,11.646408081054688) (1784,11.565441131591797)
57: (608,15.121589660644531) (593,14.580329895019531) (296,14.035301208496094) (858,13.978416442871094) (2997,13.759034156799316) (527,13.74811840057373) (318,13.725271224975586) (1617,13.720457077026367) (260,13.285165786743164) (50,13.237695693969727) (1193,13.16999626159668) (2028,12.822746276855469) (1197,12.714826583862305) (1213,12.658194541931152) (2762,12.542999267578125) (2396,12.497913360595703) (1259,12.29234504699707) (1136,12.26141357421875) (912,11.72471809387207) (1265,11.622505187988281)
58: (1240,23.665302276611328)* (110,21.670948028564453)* (1097,21.447032928466797)* (1259,21.083694458007812) (480,20.832456588745117)* (924,20.81337547302246)* (1036,20.69208526611328) (50,20.66274642944336) (912,20.506195068359375)* (1291,20.04392433166504) (1580,19.92428207397461)* (2791,19.62268829345703)* (1,19.494470596313477) (1265,19.26729393005371) (2997,18.504962921142578)* (2916,18.453170776367188) (1278,18.362865447998047) (3421,18.313037872314453) (1079,18.073589324951172) (1252,17.966283798217773)
